Date : 2024-07-02 02:39:39
Directory : d:\vscodeproject\Cyuyan
Total : 60 files,  2064 codes, 472 comments, 144 blanks, all 2680 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         42 |      1,705 |        469 |         76 |      2,250 |
| Markdown |         10 |        333 |          0 |         68 |        401 |
| C++      |          6 |         24 |          3 |          0 |         27 |
| JSON     |          2 |          2 |          0 |          0 |          2 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |         60 |      2,064 |        472 |        144 |      2,680 |
| . (Files)                                                                                               |          1 |         78 |          0 |         15 |         93 |
| .VSCodeCounter                                                                                          |         10 |        246 |          0 |         52 |        298 |
| .VSCodeCounter\2024-05-20_23-33-24                                                                      |          5 |         97 |          0 |         26 |        123 |
| .VSCodeCounter\2024-06-05_00-23-24                                                                      |          5 |        149 |          0 |         26 |        175 |
| C_test_project                                                                                          |         24 |      1,203 |        330 |         35 |      1,568 |
| C_test_project\10_define_and_macro                                                                      |          1 |         11 |          2 |          0 |         13 |
| C_test_project\11_pointer                                                                               |          2 |         64 |         37 |          1 |        102 |
| C_test_project\11_pointer\course                                                                        |          1 |         10 |         29 |          1 |         40 |
| C_test_project\11_pointer\practice                                                                      |          1 |         54 |          8 |          0 |         62 |
| C_test_project\12_struct                                                                                |          1 |         23 |          7 |          5 |         35 |
| C_test_project\1_datatype                                                                               |          1 |         12 |          2 |          0 |         14 |
| C_test_project\2_VariablesandConstants                                                                  |          1 |         18 |         17 |          2 |         37 |
| C_test_project\3_character_string                                                                       |          1 |         24 |          6 |          1 |         31 |
| C_test_project\4_Branch                                                                                 |          2 |         85 |         33 |          1 |        119 |
| C_test_project\5_loop_statement                                                                         |          4 |        356 |         77 |          3 |        436 |
| C_test_project\5_loop_statement\course                                                                  |          1 |         44 |         34 |          2 |         80 |
| C_test_project\5_loop_statement\game                                                                    |          1 |         61 |          9 |          0 |         70 |
| C_test_project\5_loop_statement\practice1                                                               |          1 |        184 |         23 |          0 |        207 |
| C_test_project\5_loop_statement\practice2                                                               |          1 |         67 |         11 |          1 |         79 |
| C_test_project\6_function                                                                               |          4 |        157 |         34 |          4 |        195 |
| C_test_project\6_function\course                                                                        |          3 |         41 |         20 |          1 |         62 |
| C_test_project\6_function\practice1                                                                     |          1 |        116 |         14 |          3 |        133 |
| C_test_project\7_array                                                                                  |          4 |        401 |         40 |          9 |        450 |
| C_test_project\7_array\course                                                                           |          1 |         65 |         20 |          5 |         90 |
| C_test_project\7_array\game1_三字棋                                                                        |          3 |        336 |         20 |          4 |        360 |
| C_test_project\8_operateor                                                                              |          1 |         10 |         26 |          3 |         39 |
| C_test_project\9_keyword                                                                                |          2 |         42 |         49 |          6 |         97 |
| data_structure_exercise                                                                                 |          1 |          9 |          0 |          2 |         11 |
